name,isin,market_cap,book_value,p_bv,p_e
NOVATURAS,LT0000131872,107.74,72.07,1.49,258.10
SILVAIR-REGS,USU827061099,82.09,26.20,3.13,
COALENERG,LU0646112838,77.15,14.35,5.38,6.00
AGROTON,CY0101062111,74.65,6.62,11.27,108.90
ATLASEST,GB00B0WDBP88,62.90,667.72,0.09,0.80
KSGAGRO,LU0611262873,32.44,55.36,0.59,3.80
MILKILAND,NL0009508712,27.44,-107.50,,
ESTAR,HU0000089198,22.09,34.98,0.63,
KDMSHIPNG,CY0102492119,13.01,145.30,0.09,1.30
PLAZACNTR,NL0011882741,11.45,-556.09,,
IFSA,EE3100099391,9.84,12.39,0.79,19.30
REINHOLD,SE0001856519,9.69,-5.81,,
FON,EE3100100835,7.82,28.31,0.28,3.80
SADOVAYA,LU0564351582,5.17,-205.60,,
SLEEPZAG,DE000A2E3772,3.92,28.59,0.14,
