name,url
AMPLI SPÓŁKA AKCYJNA (APL)Główny Rynek | artykuły elektryczne,https://www.gpw.pl/spolka?isin=PLAMPLI00019
"AMREST HOLDINGS SE (EAT)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG-Poland, mWIG40, WIG, CEEplus | hotele i restauracje",https://www.gpw.pl/spolka?isin=ES0105375002
"ANSWEAR.COM SPÓŁKA AKCYJNA (ANR)Główny Rynek | WIG-Poland, WIG | Handel Internetowy",https://www.gpw.pl/spolka?isin=PLANSWR00019
"APATOR SPÓŁKA AKCYJNA (APT)Główny Rynek | WIG140, sWIG80TR, WIGdiv, WIG-Poland, sWIG80, WIG | urządzenia elektryczne",https://www.gpw.pl/spolka?isin=PLAPATR00018
"APLISENS SPÓŁKA AKCYJNA (APN)Główny Rynek | WIG-Poland, WIG | urządzenia elektryczne",https://www.gpw.pl/spolka?isin=PLAPLS000016
"APS ENERGIA SPÓŁKA AKCYJNA (APE)Główny Rynek | WIG-Poland, WIG | urządzenia elektryczne",https://www.gpw.pl/spolka?isin=PLAPSEN00011
ARCHICOM SPÓŁKA AKCYJNA (ARH)Główny Rynek | sprzedaż nieruchomości,https://www.gpw.pl/spolka?isin=PLARHCM00099
ARCHICOM SPÓŁKA AKCYJNA (ARH)Główny Rynek | sprzedaż nieruchomości,https://www.gpw.pl/spolka?isin=PLARHCM00016
"ARCTIC PAPER SPÓŁKA AKCYJNA (ATC)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIG-Poland, mWIG40, WIG, CEEplus | papier i opakowania",https://www.gpw.pl/spolka?isin=PLARTPR00012
"ARTIFEX MUNDI SPÓŁKA AKCYJNA (ART)Główny Rynek | WIG-gry, WIGtechTR, WIGtech, WIG-Poland, WIG | Gry",https://www.gpw.pl/spolka?isin=PLARTFX00011
"AS SILVANO FASHION GROUP (SFG)Główny Rynek | WIG-odzież, WIG | odzież i obuwie",https://www.gpw.pl/spolka?isin=EE3100001751
"ASBISC ENTERPRISES PLC (ASB)Główny Rynek | WIG140, WIG-ESG, mWIG40TR, WIGdiv, mWIG40, WIG, CEEplus | komputery i elektronika",https://www.gpw.pl/spolka?isin=CY1000031710
ASM GROUP SPÓŁKA AKCYJNA (ASM)Główny Rynek | reklama i marketing,https://www.gpw.pl/spolka?isin=PLASMGR00014
"ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA (ABS)Główny Rynek | WIG140, WIGtechTR, WIGtech, sWIG80TR, WIG-Poland, WIG-informatyka, sWIG80, WIG | oprogramowanie",https://www.gpw.pl/spolka?isin=PLABS0000018
"ASSECO POLAND SPÓŁKA AKCYJNA (ACP)Główny Rynek | WIG140, WIGtechTR, WIG-ESG, WIGtech, WIG30TR, WIG30, WIG20TR, WIGdiv, WIG-Poland, WIG-informatyka, WIG20, WIG, CEEplus | systemy informatyczne",https://www.gpw.pl/spolka?isin=PLSOFTB00016
"ASSECO SOUTH EASTERN EUROPE SPÓŁKA AKCYJNA (ASE)Główny Rynek | WIG140, WIGtechTR, WIGtech, sWIG80TR, WIGdiv, WIG-Poland, WIG-informatyka, sWIG80, WIG | oprogramowanie",https://www.gpw.pl/spolka?isin=PLASSEE00014
"ASTARTA HOLDING PLC (AST)Główny Rynek | WIG140, sWIG80TR, WIG-CEE, WIG-Ukraine, WIG-spożywczy, sWIG80, WIG, CEEplus | produkcja rolna i rybołówstwo",https://www.gpw.pl/spolka?isin=NL0000686509
"ATAL SPÓŁKA AKCYJNA (1AT)Główny Rynek | WIG140, sWIG80TR, WIG-Poland, WIG-nieruchomości, sWIG80, WIG | sprzedaż nieruchomości",https://www.gpw.pl/spolka?isin=PLATAL000046
"ATENDE SPÓŁKA AKCYJNA (ATD)Główny Rynek | WIGtechTR, WIGtech, WIG-Poland, WIG-informatyka, WIG | systemy informatyczne",https://www.gpw.pl/spolka?isin=PLATMSI00016
"ATLANTA POLAND SPÓŁKA AKCYJNA (ATP)Główny Rynek | WIG-Poland, WIG-spożywczy, WIG | żywność",https://www.gpw.pl/spolka?isin=PLATLPL00018
"ATLANTIS SE (ATS)Główny Rynek | WIG-Poland, WIG | Działalność Inwestycyjna",https://www.gpw.pl/spolka?isin=EE3100063686
"ATM GRUPA SPÓŁKA AKCYJNA (ATG)Główny Rynek | WIGdiv, WIG-Poland, WIG-media, WIG | radio i telewizja",https://www.gpw.pl/spolka?isin=PLATM0000021
"ATREM SPÓŁKA AKCYJNA (ATR)Główny Rynek | WIG-Poland, WIG-budownictwo, WIG | instalacje budowlane i telekomunikacyjne",https://www.gpw.pl/spolka?isin=PLATREM00017
